CatKPIDataID,CustomerNumber,ShipTo,Make,Model,SerialNumber,WieseID,WorkOrder,WorkOrderName,PromiseDate,ServiceType,InvoiceDate,InvoiceDateTime,InvoiceTotal,Division,SubClassShortDesc,Critical,MfgYear,Age,LastLaborDate,TechAssignedDate,DispatchCompleteDate,DateInShip,DispatchCreateDate,servstart,servstop,MinLaborDate,MaxLaborDate,LaborHours,TimeDown,LaborDiff,ResponseTime,TimeToSubmit,Response,Time_to_Complete,Hours_to_Submit,InvoiceMonth,InvoiceYear,Location,Branch
4068,250040,1,CAT,2EP5000,FN660147,M4509,84987,BENT FORK  POSSIBLE WARRANTY,NULL,Damage,00:00.0,4/26/23 15:43,28.5,Inbound,Sit Down Electric,,2022,1,4/26/23 14:00,4/26/23 12:30,4/26/23 13:23,4/26/23 12:30,4/26/23 12:30,4/26/23 12:30,4/26/23 13:23,4/26/23 13:30,4/26/23 14:00,0.5,1.5,0.5,1,2.33,1,1.5,2.33,April,2023,East Peoria,CAT Morton
4064,250040,1,CAT,2C5000,AT9048509,2485Y,84939,LIGHT ON DASH AND DERATED SPEED,NULL,Reactive,00:00.0,4/26/23 14:54,57,,Sit Down IC,,0,0,4/25/23 16:00,4/25/23 8:05,4/25/23 15:41,4/25/23 8:05,4/25/23 8:05,4/25/23 8:05,4/25/23 15:41,4/25/23 15:00,4/25/23 16:00,1,7.92,1,6.92,23.22,6.92,7.92,7.72,April,2023,Mossville,CAT Morton
4063,250040,1,CAT,E5000,A4EC220854,M4036,84938,STALL/DIE,NULL,Reactive,00:00.0,4/26/23 14:53,1018.03,Inbound,Sit Down Electric,,2006,17,4/26/23 13:30,4/25/23 7:42,4/26/23 13:05,4/25/23 7:42,4/25/23 7:42,4/25/23 7:42,4/26/23 13:05,4/25/23 9:30,4/26/23 13:30,11.5,29.8,28,1.8,1.8,1.8,14.3,1.8,April,2023,Morton,CAT Morton
4057,250040,1,JUN,ETR345A,82825278,M4204,84931,NOISE WHILE DRIVING,NULL,Reactive,00:00.0,4/26/23 14:51,714.26,Inbound,Reach Truck,,2019,4,4/26/23 14:00,4/24/23 13:53,4/26/23 9:39,4/24/23 13:53,4/24/23 13:53,4/24/23 13:53,4/26/23 9:39,4/26/23 6:00,4/26/23 14:00,7.5,48.12,8,40.12,5.2,10.62,17.12,5.2,April,2023,Morton,CAT Morton
4049,250040,1,JUN,ETR235A,82821290,4922R,84926,STEERS HARD   BUMPY RIDE FAN LOOSE,NULL,Reactive,00:00.0,4/25/23 15:16,114,Outbound,Reach Truck,,2015,8,4/25/23 6:00,4/24/23 12:18,4/25/23 10:32,4/24/23 12:18,4/24/23 12:18,4/24/23 12:18,4/25/23 10:32,4/25/23 4:00,4/25/23 6:00,2,17.7,2,15.7,4.73,3.7,3.7,4.73,April,2023,Morton,CAT Morton
4041,250040,1,JUN,ETR345,82820029,M4159,84913,WONT MOVE CODES OUT,NULL,Reactive,00:00.0,4/25/23 7:17,85.5,Outbound,Reach Truck,,2014,9,4/24/23 12:30,4/24/23 10:29,4/24/23 11:15,4/24/23 10:29,4/24/23 10:29,4/24/23 10:29,4/24/23 11:15,4/24/23 11:00,4/24/23 12:30,1.5,2.02,1.5,0.52,20.03,0.52,2.02,4.75,April,2023,Morton,CAT Morton
4039,250040,1,JUN,ETR345,82820048,M4160,84910,CASTER WHEEL DAMAGED,NULL,Reactive,00:00.0,4/25/23 7:16,264.09,Inbound,Reach Truck,,2014,9,4/24/23 14:00,4/24/23 6:48,4/24/23 13:40,4/24/23 6:48,4/24/23 6:48,4/24/23 6:48,4/24/23 13:40,4/24/23 12:30,4/24/23 14:00,1.5,7.2,1.5,5.7,17.6,5,6.5,2.33,April,2023,Morton,CAT Morton
4048,250040,1,CAT,EC25N2,ATB3052014,0622Y,84909,MISC REPAIRS,NULL,Reactive,00:00.0,4/25/23 15:15,228,,Sit Down Electric,,2018,5,4/25/23 8:30,4/24/23 5:21,4/25/23 9:27,4/24/23 5:21,4/24/23 5:21,4/24/23 5:21,4/25/23 9:27,4/25/23 4:30,4/25/23 8:30,4,27.15,4,23.15,5.8,8.5,9.5,5.8,April,2023,Morton,CAT Morton
4038,250040,1,CAT,M322,CAT0M322TKE600220,M4232,84908,NEEDS DEF,NULL,Reactive,00:00.0,4/25/23 7:16,85.5,Inbound,Excavator,,2022,1,4/24/23 10:30,4/24/23 4:38,4/24/23 13:41,4/24/23 4:38,4/24/23 4:38,4/24/23 4:38,4/24/23 13:41,4/24/23 9:00,4/24/23 10:30,1.5,5.87,1.5,4.37,17.58,1.5,3,2.32,April,2023,Morton,CAT Morton
4037,250040,1,JUN,ETR345A,82826448,M5343,84907,CODES    CASTER WHEEL DAMAGED,NULL,Reactive,00:00.0,4/25/23 7:15,238.59,Outbound,Reach Truck,,2020,3,4/24/23 7:30,4/24/23 4:26,4/24/23 13:20,4/24/23 4:26,4/24/23 4:26,4/24/23 4:26,4/24/23 13:20,4/24/23 6:00,4/24/23 7:30,1.5,3.07,1.5,1.57,17.92,0,0,2.67,April,2023,Morton,CAT Morton
